score_mode	temperature	distance	raw_energy	log_likelihood_like_score	normalized_relative_weight	monotonic_nonincreasing
fdg_flat	0.5	3.44	2.224432989690722	-4.448865979381444	0.01927654938968556	0
fdg_flat	0.5	3.46	2.2537755102040817	-4.5075510204081635	0.01817785797361212	0
fdg_flat	0.5	3.48	2.283131313131313	-4.566262626262626	0.017141332507678502	0
fdg_flat	0.5	3.5	2.3125	-4.625	0.016163494588165874	0
fdg_flat	0.5	3.52	2.341881188118812	-4.683762376237624	0.01524105696853811	0
fdg_flat	0.5	3.54	2.3712745098039214	-4.742549019607843	0.014370913375928345	0
fdg_flat	0.5	3.56	2.400679611650485	-4.80135922330097	0.013550128838828961	0
fdg_flat	0.5	3.58	2.430096153846154	-4.860192307692308	0.012775930503567078	0
fdg_flat	0.5	3.6	2.4595238095238097	-4.919047619047619	0.012045698917763002	0
fdg_flat	0.5	3.62	2.4889622641509437	-4.977924528301887	0.01135695975961659	0
fdg_flat	0.5	3.64	2.518411214953271	-5.036822429906542	0.010707375992537157	0
fdg_flat	0.5	3.66	2.5478703703703705	-5.095740740740741	0.010094740425318533	0
fdg_flat	0.5	3.68	2.577339449541285	-5.15467889908257	0.009516968658756293	0
fdg_flat	0.5	3.7	2.606818181818182	-5.213636363636364	0.008972092400302844	0
fdg_flat	0.5	3.72	2.6363063063063064	-5.272612612612613	0.008458253129053744	0
fdg_flat	0.5	3.74	2.665803571428572	-5.331607142857144	0.007973696094051724	0
fdg_flat	0.5	3.7600000000000002	2.695309734513275	-5.39061946902655	0.007516764629578844	0
fdg_flat	0.5	3.7800000000000002	2.724824561403509	-5.449649122807018	0.0070858947717811465	0
fdg_flat	0.5	3.8000000000000003	2.7543478260869567	-5.508695652173913	0.006679610161630329	0
fdg_flat	0.5	3.8200000000000003	2.783879310344828	-5.567758620689656	0.006296517219872565	0
fdg_flat	0.5	3.8400000000000003	2.813418803418804	-5.626837606837608	0.00593530058024324	0
fdg_flat	0.5	3.8600000000000003	2.8429661016949157	-5.685932203389831	0.0055947187678382845	0
fdg_flat	0.5	3.8800000000000003	2.8725210084033614	-5.745042016806723	0.005273600110125707	0
fdg_flat	0.5	3.9000000000000004	2.902083333333334	-5.804166666666668	0.004970838868655316	0
fdg_flat	0.5	3.9200000000000004	2.931652892561984	-5.863305785123968	0.004685391580079611	0
fdg_flat	0.5	3.94	2.9612295081967215	-5.922459016393443	0.0044162735956340135	0
fdg_flat	0.5	3.96	2.990813008130081	-5.981626016260162	0.004162555808740778	0
fdg_flat	0.5	3.98	3.0204032258064513	-6.0408064516129025	0.003923361560896852	0
