experiment	component	configuration	scope	metric	value	n	truth_used_in_inference
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_coverage_at_precision_0.70	0.7647332560061677	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_coverage_at_precision_0.80	0.3806371851059544	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_coverage_at_precision_0.90	0.20802628197559334	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_signal_aware_coverage_at_precision_0.55	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_signal_aware_coverage_at_precision_0.60	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_signal_aware_coverage_at_precision_0.70	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_signal_aware_coverage_at_precision_0.80	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	exact_signal_aware_coverage_at_precision_0.90	0.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_signal_aware_coverage_at_precision_0.55	1.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_signal_aware_coverage_at_precision_0.60	1.0	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_signal_aware_coverage_at_precision_0.70	0.7647332560061677	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_signal_aware_coverage_at_precision_0.80	0.3806371851059544	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	same_cross_signal_aware_coverage_at_precision_0.90	0.20802628197559334	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	mean_truth_state_distance_rank	2.699806219048876	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	truth_state_geometrically_nearest_fraction	0.16585982483313308	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_fdg_flat	trans	posterior_top1_equals_geometrically_nearest_fraction	0.998416413732749	143977	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	n_contacts	350034	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	callable_fraction	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_top1_accuracy	0.1887016689807276	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_random_tie_expected_accuracy	0.1887016689807276	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_accuracy_ci95_lower	0.18740889053197476	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_accuracy_ci95_upper	0.190001280060573	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_log_loss	12.233863137925418	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_brier	1.482157814453631	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_accuracy	0.8477319346120663	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_random_tie_expected_accuracy	0.8477319346120663	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_accuracy_ci95_lower	0.8465379004656762	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_accuracy_ci95_upper	0.8489183364527498	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_log_loss	1.8741817847271989	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_brier	0.28444126471293774	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	mean_entropy	0.18849838968702345	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_ece	0.7265709063578486	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_ece	0.13697382978677047	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	mean_exact_confidence	0.9152725753385761	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	mean_same_cross_confidence	0.9847057643988367	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	mean_signal_probability	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_coverage_at_precision_0.55	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_coverage_at_precision_0.60	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_coverage_at_precision_0.70	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_coverage_at_precision_0.80	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_coverage_at_precision_0.90	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_coverage_at_precision_0.55	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_coverage_at_precision_0.60	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_coverage_at_precision_0.70	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_coverage_at_precision_0.80	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_coverage_at_precision_0.90	0.8356673923104613	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_signal_aware_coverage_at_precision_0.55	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_signal_aware_coverage_at_precision_0.60	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_signal_aware_coverage_at_precision_0.70	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_signal_aware_coverage_at_precision_0.80	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	exact_signal_aware_coverage_at_precision_0.90	0.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_signal_aware_coverage_at_precision_0.55	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_signal_aware_coverage_at_precision_0.60	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_signal_aware_coverage_at_precision_0.70	1.0	350034	ORACLE_COORDINATES
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	all	same_cross_signal_aware_coverage_at_precision_0.80	1.0	350034	ORACLE_COORDINATES
