experiment	component	configuration	scope	metric	bin_index	lower	upper	count	coverage	mean_confidence	accuracy
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	6	0.6000000000000001	0.7000000000000001	932	0.004523020329326352	0.6521858302802331	0.6384120171673819
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	7	0.7000000000000001	0.8	2277	0.011050340439781226	0.7588222412561924	0.8028107158541942
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	8	0.8	0.9	8487	0.041187632548275475	0.8636235588565158	0.8978437610463061
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	cis	same_cross	9	0.9	1.0	193752	0.9402835137850206	0.9797979486043341	0.9855588587472646
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	2	0.2	0.30000000000000004	2286	0.01587753599533259	0.28715633629807	0.25284339457567806
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	3	0.30000000000000004	0.4	28627	0.19883036873945145	0.35559961132896417	0.2420791560414993
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	4	0.4	0.5	30626	0.21271453079311278	0.4475834700325425	0.22650688957095277
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	5	0.5	0.6000000000000001	21428	0.14882932690638087	0.5477722517422092	0.20113869703192086
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	6	0.6000000000000001	0.7000000000000001	16125	0.11199705508518722	0.647919210954274	0.17190697674418604
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	7	0.7000000000000001	0.8	13060	0.09070893267674698	0.7483166352912475	0.11753445635528331
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	8	0.8	0.9	13728	0.09534856261764031	0.8520027464868424	0.04938811188811189
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	exact	9	0.9	1.0	18097	0.1256936871861478	0.9444107170313363	0.007736088854506272
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	same_cross	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	same_cross	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_logdist2	trans	same_cross	2	0.2	0.30000000000000004	0	0.0	nan	nan
