condition_id	diagram	generator_family	homolog_separation	contacts_per_cell	cis_fraction	background_fraction	resolution_bp	chromosome_count	chromosome_length_bins	readchain_length	molecule_count	count_overdispersion	anchor_fraction	base_seed	replicate_seeds	replicates	grid_policy	grid_stage	truth_used_in_inference	likelihood_match_status
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r2__m0	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	2654691040,2654692049,2654693058	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r2__m20	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	2	20	0.0	0.0	17	1879732393,1879733402,1879734411	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r2__m80	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	2	80	0.0	0.0	17	404932933,404933942,404934951	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r4__m0	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	4	0	0.0	0.0	17	2375194856,2375195865,2375196874	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r4__m20	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	4	20	0.0	0.0	17	48128028,48129037,48130046	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r4__m80	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	4	80	0.0	0.0	17	3924177568,3924178577,3924179586	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r6__m0	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	6	0	0.0	0.0	17	1009790103,1009791112,1009792121	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r6__m20	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	6	20	0.0	0.0	17	3421743546,3421744555,3421745564	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__well_specified__d1200__sep1__cis0.65__bg0.05__a0__r6__m80	readchain_length_x_molecule_count	well_specified	1.0	1200	0.65	0.05	1000000	3	10	6	80	0.0	0.0	17	612757068,612758077,612759086	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
contacts_x_homolog_separation__model_mismatched__d300__sep0.1__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	model_mismatched	0.1	300	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	3086391598,3086392607,3086393616	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
